Author;Date;Rating;Review;Book_title;Book_author;label
Анастасия;20.05.2025;4;"Очень душевная и грустная история,от которой очень хочется плакать(
В целом книга не плохая, но иногда становилась очень скучная, но в итоге дочитала и довольна этой книгой))
Кто любит такие истории, на которых хочется плакать, вот эта очень подойдёт.
Книга о том, как каждый день пропадает по одному предмету,взамен на один день жизни для героя книги.";Если все кошки в мире исчезнут;Гэнки Кавамура;1
Синан;20.05.2025;1;"это нечитаемо во всех смыслах. буквально начинается рассказ и сразу нам описывают страшные вещи про персонажа, которого мы вообще не знаем. Вместо описаний мыслей, не прямых объяснений, просто маленькие абзацы с резкими и неинтересными ..всем.
Главная проблема даже не персонажи, ибо их не раскрывают, а само построение предложений и описания сюжета. его нет. короче, как писал один из автор_ок некоторого из отзывов - реально хочется биться об стену.";Если все кошки в мире исчезнут;Гэнки Кавамура;-1
Юлия;19.05.2025;5;"Боялась начинать читать эту книгу, потому что у нас как водится - популярно в основном то, что этого совершенно не заслуживает. Однако решила всё-таки рискнуть, и хочу сказать, не зря - о книге действительно не зря трубят из каждого угла!
Если не спойлерить, то здесь рассматривается как изменится мир без определённых вещей - и это действительно заставляет задуматься, пусть хоть и немного простоват язык написания, но смысл заложен неплохой. Советую в качестве книги на вечер - она небольшая, страницы очень плотные и их не особо много, так что за пару часов вполне можно прочитать)";Если все кошки в мире исчезнут;Гэнки Кавамура;1
ольга;19.05.2025;5;"просто чудесная книга, всем сердцем её обожаю. прочитала пару месяцев назад, до сих пор иногда откликается какими-то отрывками в интернете.
с виду такая небольшая книжка, но подарила мне столько эмоций, сколько ни дарила какая-то другая. я про неё писала и в школу, и всем родственникам/друзьям всегда советую, даже мама после моей рекомендации её прочла. загляденье. заставляет глубоко задуматься о смыслеси значимости собственной жизни, для меня эта книга попалась в нужный период жизни, помогла даже немного разобраться в себе. люблю её безгранично, всем советую";Если все кошки в мире исчезнут;Гэнки Кавамура;1
Полина;17.05.2025;5;"Книгу Гэнки Кавамуры «Если все кошки в мире исчезнут» я увидела случайно на просторах интернета. И уж настолько меня привлекло название и оформление, что мне захотелось купить её.
Это произведение небольшое - его можно прочитать за вечер если не делать никаких пауз. Но при этом она раскрывает очень много глубоких тем.
Сама задумка книги великолепна. Весьма интересные условия продления жизни на один деньв мире исчезает одна вещь, но при этом ты живёшь на сутки дольше. Причём, эта вещь выбирается самим дьяволом. И эта вещь касается твоей жизни. Если так подумать, то сколько должно исчезнуть вещей из вашей жизни, чтобы сама жизнь потеряла всякий смысл? Чем бы вы никогда не смогли пожертвовать ради самой жизни? На самом деле, трактовать эту гениальную задумку можно по разному, и каждый вариант несёт в себе немало смысла. Много интересных цитат.
Книга заставляет задуматься, что бы ты сделал если бы узнал что осталось жить совсем немного, о чем бы жалел.";Если все кошки в мире исчезнут;Гэнки Кавамура;1
Мири;16.05.2025;2;"Столько восторженных отзывов я прочитала по поводу этой книги из-за чего видимо у меня были слишком завышенные ожидания.
Книга читается очень легко и быстро, да и задумка очень интересная, но сами персонажи никак не цепляют и не вызывают никаких эмоций. Сюжет откровенно слабый.
Вся книга будто бы просто сборник цитат о том, что нужно ценить жизнь.";Если все кошки в мире исчезнут;Гэнки Кавамура;-1
Егор;14.05.2025;3;Книга в типично японском стиле – спокойная, философская, с глубокими размышлениями о жизни. Сюжет интересный, а атмосфера уютная, но, честно говоря, не понял всеобщего восторга. Для меня она не открыла ничего нового – темы одиночества, смысла бытия и маленьких радостей уже хорошо знакомы. Зато смешно, что главный герой спокойно принял исчезновение телефонов, фильмов, часов, но категорически не смирился с исчезновением котиков! Это добавило милоты. В целом – неплохо, но сильно не вдохновило;Если все кошки в мире исчезнут;Гэнки Кавамура;0
Пользователь скрыл свои данные;14.05.2025;4;"К умирающему почтальону приходит дьявол и предлагает заключить сделку. Он получит дополнительный день жизни, если решит какая вещь в мире должна исчезнуть бесследно… И так по новой каждый день, что-то, что тебе дорого должно исчезнуть с лица земли.

Готовьте бумажные платочки, они могут вам понадобиться, лично меня книга заставила прослезиться. Оценку снизила из-за открытого финала. Автор не говорит нам, что в итоге случилось с героем, есть только намеки. Это с одной стороны хорошо, потому что ты можешь надеется на лучшее, но с другой - испытываешь чувство незавершенности.

Цитата:

— О, ничего. Все отлично. Я просто хотел знать.
Смелее. Выкладывай.
— Так получается, что…ты умрешь завтра.
— Что!?
— Ты умрешь завтра. Вот что я пришел тебе сказать.";Если все кошки в мире исчезнут;Гэнки Кавамура;1
Вероника;14.05.2025;4;Нуууу… ожидала немножко другого. Эта книга так сильно разрекламирована везде. А по итогу не особо то и завлекла, и затянула. Люблю книги японских авторов. Есть в них изюминка. И в этой книге я ждала эту «изюминку», но не получила ее по итогу. Что огорчает. В общем, на вкус и цвет. Только вам решать, дадите ли вы ей шанс или нет. Для «прочитал и забыл».;Если все кошки в мире исчезнут;Гэнки Кавамура;1
Натали;13.05.2025;3;"Книга переоценена. Не понимаю почему всем так понравилась. Слог простой, сюжет слегка шизофренический. Я бы назвала главного героя, типичным больным с лобной конвекситальной психикой. местами сюжет был скучен, автор пытается давить на жалость. Хотя мне не жаль героя, возможно я совершенно не поняла данное произведение. Мне показалось, что эта книга унылая, не знаю на кого рассчитано. Возможно, на таких людей, которые любят уныние и открытый финал.
Купила и прочитала ее только из-за огромной популярности. Разочаровалась.";Если все кошки в мире исчезнут;Гэнки Кавамура;0
